Age report
1 January 2025 - 6 March 2026
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,35 - 44,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.10,"440,506","68,404",15.53%,0.05,3151.02,66.51%,"45,496.16",0.07
Enabled,35 - 44,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.10,"133,712","21,571",16.13%,0.05,989.32,69.18%,"14,922.15",0.07
Enabled,45 - 54,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.11,"149,185","23,817",15.96%,0.04,1044.88,64.24%,"15,298.91",0.07
Enabled,18 - 24,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.10,"388,664","53,427",13.75%,0.04,2315.32,61.40%,"32,803.41",0.07
Enabled,65+,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.11,"102,751","17,641",17.17%,0.05,842.64,72.98%,"12,874.34",0.07
Enabled,55 - 64,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.03,"1,253,323","507,169",40.47%,0.02,9388.22,23.26%,"117,983.21",0.08
Enabled,18 - 24,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.10,"1,066",36,3.38%,0.44,15.69,61.11%,22.00,0.71
Enabled,25 - 34,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.18,693,25,3.61%,0.33,8.14,68.00%,17.00,0.48
Enabled,35 - 44,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.08,971,41,4.22%,0.33,13.45,100.00%,41.00,0.33
Enabled,18 - 24,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.08,"1,468",80,5.45%,0.36,28.85,85.00%,68.00,0.42
Enabled,18 - 24,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.07,"1,145",55,4.80%,0.40,22.16,52.73%,29.00,0.76
Enabled,45 - 54,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.17,"1,487",79,5.31%,0.33,26.46,51.90%,41.00,0.65
Enabled,Unknown,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.08,"22,765","1,887",8.29%,0.12,219.23,19.02%,359.00,0.61
Enabled,18 - 24,North America : Video views - 2025-03-05,Sustainability + Education,Campaign paused, --,THB,0.47,"4,790","1,649",34.43%,0.42,684.97,0.00%,0.00,0.00
Removed,65+,North America : Video views - 2025-03-05,Green Living,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
