# ----------------------------------------
# User acquisition: First user primary channel group (Default channel group)
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
First user source / medium,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
app.dripify.io / referral,1,0,0,0,1,1,0,0
app.falcon.io / referral,1,0,0,0,0,1,0,0
app.planbook.com / referral,1,0,1,612,9,34,22,1
au.search.yahoo.com / referral,1,0,0,0,1,1,0,0
autoscout24.fr / referral,1,0,0,0,1,2,0,0
baciakte.online / referral,1,0,0,0,0,1,0,0
beta.indoramaventures.com / referral,1,0,0,0,0,1,0,0
boardgamearena.com / referral,1,0,0,0,0,2,0,0
calendar.google.com / referral,1,0,1,0,8,8,0,0
canva.com / referral,1,0,0,10,1,7,0,0
chat.openai.com / referral,1,0,0,0,1,1,0,0
chat.zalo.me / referral,1,0,1,0,0,4,0,0
coches.trovit.es / referral,1,0,0,0,0,1,0,0
copilot.cloud.microsoft / referral,1,0,0,0,0,1,0,0
cvtblog.online / referral,1,0,0,0,0,1,0,0
dailyfx.com / referral,1,0,0,0,0,1,0,0
ddec1-0-en-ctp.trendmicro.com / referral,1,0,1,55,1,5,0,0
digitick.com / referral,1,0,0,0,0,1,0,0
docs.google.com / referral,1,0,1,0,0,2,0,0
domesticatedcompanion.com / referral,1,0,0,0,0,1,0,0
e.mail.ru / referral,1,0,0,0,1,1,0,0
eavuinsr.online / referral,1,0,0,0,0,1,0,0
ecf4clim.smartwatt.net / referral,1,0,0,74,1,9,5,1
eksisozluk.com / referral,1,0,0,0,1,2,0,0
encmbtia.online / referral,1,0,0,0,0,1,0,0
etufac.online / referral,1,0,0,0,0,1,0,0
euc-excel.officeapps.live.com / referral,1,0,0,0,1,1,0,0
fiverr.com / referral,1,0,0,0,0,2,0,0
fr.search.yahoo.com / referral,1,0,1,32,1,3,1,1
gemini.google.com / referral,1,0,0,0,1,1,0,0
github.com / referral,1,0,0,6,1,3,0,0
go.bsky.app / referral,1,0,0,0,1,1,0,0
groups.google.com / referral,1,0,0,46,1,4,3,1
hardreset.info / referral,1,0,0,0,0,1,0,0
homeofbob.com / referral,1,0,0,0,1,1,0,0
hugedomains.com / referral,1,0,0,0,0,1,0,0
hypertherm.sharepoint.com / referral,1,0,0,0,0,1,0,0
iste.lightning.force.com / referral,1,0,0,0,0,4,0,0
keep.google.com / referral,1,0,0,0,0,1,0,0
liblink.pl / referral,1,0,0,26,1,2,1,1
localhost / referral,1,0,0,0,0,2,0,0
localhost:3000 / referral,1,0,0,0,0,1,0,0
localhost:6543 / referral,1,0,0,0,1,1,0,0
login.microsoftonline.com / referral,1,0,1,655,6,12,5,1
m.mgronline.com / referral,1,0,0,0,0,2,0,0
m.nearbyme.io / referral,1,0,1,0,1,2,0,0
macworld.com / referral,1,0,0,0,0,1,0,0
mail.aliyun.com / referral,1,0,1,0,2,5,0,0
mail.infinitummail.com / referral,1,0,0,16,1,2,0,0
mail3.spectrum.net / referral,1,0,0,0,0,1,0,0
malaysia.search.yahoo.com / referral,1,0,0,0,1,1,0,0
manager.cloud.ipdgroup.com:4443 / referral,1,0,0,0,1,2,0,0
mightytechy.com / referral,1,0,0,124,1,11,7,1
myportal.upou.edu.ph / referral,1,0,0,0,1,1,0,0
nfwbt.ratraiser.online / referral,1,0,0,0,0,1,0,0
openai / referral,1,0,0,0,0,1,0,0
optiwise.teamwork.com / referral,1,0,0,0,0,1,0,0
orb-cn.glowapp.vip / referral,1,0,0,0,1,1,0,0
orchid-conch-cfrt.squarespace.com / referral,1,0,0,0,0,1,0,0
perplexity / (not set),1,0,0,0,0,1,0,0
perplexity.ai / referral,1,0,0,0,1,1,0,0
petalsearch.com / referral,1,0,0,0,0,2,0,0
phimarshcer.online / referral,1,0,0,0,0,1,0,0
portal.ct.gov / referral,1,0,0,0,0,1,0,0
presearch.com / referral,1,0,1,0,1,4,0,0
publicdomainpictures.net / referral,1,0,0,0,0,1,0,0
qra.ai / referral,1,0,0,0,0,1,0,0
qrcodescan.in / referral,1,0,0,0,0,1,0,0
qwant.com / organic,1,0,0,0,0,1,0,0
resumetrud.com / referral,1,0,0,0,0,1,0,0
saharaj.net / referral,1,0,0,0,0,1,0,0
search-dre.dt.dbankcloud.com / referral,1,0,0,0,0,1,0,0
search.app / referral,1,0,0,40,1,3,2,1
secretchina.com / referral,1,0,0,0,0,1,0,0
sense.sopact.com / referral,1,0,0,0,0,1,0,0
sg.search.yahoo.com / referral,1,0,0,68,1,5,4,1
sites.google.com / referral,1,0,0,0,1,1,0,0
smbsalesimplementation.my.salesforce.com / referral,1,0,1,0,3,5,0,0
teachercourse2023.education.gov.il / referral,1,0,1,208,1,22,16,1
thescea.org / referral,1,0,0,0,1,1,0,0
usc-powerpoint.officeapps.live.com / referral,1,0,0,0,1,1,0,0
usc-word-edit.officeapps.live.com / referral,1,0,0,0,1,1,0,0
vamarinedebriscoalition-odu-geosea.hub.arcgis.com / referral,1,0,0,0,1,1,0,0
vercel.live / referral,1,0,0,0,1,2,0,0
view.genially.com / referral,1,0,1,0,1,3,0,0
vnseameo.org / referral,1,0,0,0,1,1,0,0
webhitlist.com / referral,1,0,0,0,0,1,0,0
webmail1.earthlink.net / referral,1,0,0,0,0,1,0,0
word-edit.officeapps.live.com / referral,1,0,0,0,1,1,0,0
wordhippo.com / referral,1,0,0,0,0,1,0,0
yesware.com / referral,1,0,0,0,0,1,0,0
